item_id,title,budget,genres,origin_country,production_companies,overview,
334,U Turn (1997),37000000,Drama,United States of America,"New Line Cinema, Ghoulardi Film Company","On one random day in the San Fernando Valley, a dying father, a young wife, a male caretaker, a famous lost son, a police officer in love, a boy genius, an ex-boy genius, a game show host and an estranged daughter will each become part of a dazzling multiplicity of plots, but one story.",/uq2u8HgtLFJkjNq2kHb2jvipIPT.jpg
335,How to Be a Player (1997),5000000,"Drama, Western","Italy, United States of America","Paramount Pictures, Rafran Cinematografica, San Marco","As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",/qbYgqOczabWNn2XKwgMtVrntD6P.jpg
336,Playing God (1997),0,Western,"Spain, Italy","Rafran Cinematografica, San Marco, Euro International Films","At the beginning of the 1913 Mexican Revolution, greedy bandit Juan Miranda and idealist John H. Mallory, an Irish Republican Army explosives expert on the lam from the British, fall in with a band of revolutionaries plotting to strike a national bank. When it turns out that the government has been using the bank as a hiding place for illegally detained political prisoners -- who are freed by the blast -- Miranda becomes a revolutionary hero against his will.",/nWmAtZf83qpOai0fzehf7Hn1S3R.jpg
337,"House of Yes, The (1997)",0,Drama,France,"ARP Sélection, France 5","Paris, 1960s. Momo, a resolute and independent Jewish teenager who lives with his father, a sullen and depressed man, in a working-class neighborhood, develops a close friendship with Monsieur Ibrahim, an elderly Muslim who owns a small grocery store.",/lS4hx9X5v6cpoCzzQohZs7zD881.jpg
338,Bean (1997),4800000,"Comedy, Drama",Germany,"WDR, ARTE, X Filme Creative Pool",Alex Kerner's mother was in a coma while the Berlin wall fell. When she wakes up he must try to keep her from learning what happened (as she was an avid communist supporter) to avoid shocking her which could lead to another heart attack.,/uHk1oGEbnvQGLnyiiYxTslZLoog.jpg
339,Mad City (1997),3500000,"Comedy, Drama","Japan, United States of America","JVC, Locus Solus Entertainment",An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,/ktejUHCo6c8DekpOtR3uSb6oDXr.jpg
340,Boogie Nights (1997),7000000,"Comedy, Drama",United States of America,"Stillking Films, Warner Independent Pictures, Telegraph Films, Big Beach","A young Jewish American man endeavors—with the help of eccentric, distant relatives—to find the woman who saved his grandfather during World War II—in a Ukrainian village which was ultimately razed by the Nazis.",/gk469Y3fJTlbcAkSNMZc4OtETOK.jpg
341,Critical Care (1997),0,Crime,"France, United States of America","ARP Sélection, Alice Productions","Vincent's life is on hold until he finds his wife's killer. Alice, his neighbor, is convinced she can make him happy. She decides to invent a culprit, so that Vincent can find revenge and leave the past behind. But there is no ideal culprit and no perfect crime.",/ms5tA7A2xc1EOqc2mVvcFrnH6gO.jpg
342,"Man Who Knew Too Little, The (1997)",2700000,"Comedy, Drama",Germany,Claussen+Wöbke Filmproduktion,"Tobi and Achim, the pride of the local crew club, have been the best of friends for years and are convinced that nothing will ever stand in the way of their friendship. They look forward to the upcoming summer camp and the crew competition. Then the gay team from Berlin arrives and Tobi is totally confused. The evening before the races begin, the storm that breaks out is more than meteor-logical.",/vvoOOEgSv2kKVxIqTZvFwtPp9eI.jpg
343,Alien: Resurrection (1997),1200000,"Comedy, Drama",United States of America,Paramount Pictures,The young Harold lives in his own world of suicide-attempts and funeral visits to avoid the misery of his current family and home environment. Harold meets an 80-year-old woman named Maude who also lives in her own world yet one in which she is having the time of her life. When the two opposites meet they realize that their differences don’t matter and they become best friends and love each other.,/t7qEuGwDjcYu8ajaKZ68DeDnOxw.jpg
344,"Apostle, The (1997)",2888030,"Crime, Action",Germany,"Traumwerk Filmproduktion GmbH, Becker & Häberle Filmproduktion, Senator Film, ARD",Bank robber Kalle Grabowski escapes from prison while his unemployed smalltime crook buddy is sitting around doing nothing after he just lost all their money. A fast paced comedy from German director Peter Thorwarth.,/c1bkOK9z6s3ZSkFEejUw76eeuwZ.jpg
345,Deconstructing Harry (1997),65000000,"Drama, Thriller","United Kingdom, United States of America","Warner Bros. Pictures, Stanley Kubrick Productions","After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",/knEIz1eNGl5MQDbrEAVWA7iRqF9.jpg
346,Jackie Brown (1997),2000000,"Action, Drama",Japan,TOHO,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",/iAq0sq42vKTLneVGqHn1D4GzgrM.jpg
347,Wag the Dog (1997),0,Drama,Germany,"Filmstudio 1929, Filmstudio Berlin","A semi-documentary experimental 1930 German silent film created by amateurs with a small budget. With authentic scenes of the metropolis city of Berlin, it's the first film from the later famous screenwriters/directors Billy Wilder and Fred Zinnemann.",/gWIkCmYaRDlA78WMIfRUlURuLCZ.jpg
348,Desperate Measures (1998),11000000,"Horror, Science Fiction",United States of America,"20th Century Fox, Brandywine Productions","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg
349,Hard Rain (1998),0,Comedy,France,Bac Films,Crustacés et coquillages is a fresh French comedy film with numerous surprise turnarounds and about the tolerance of a family of four. The family spend an idealistic summer vacation together where each of the family members gets involved in a new or old relationship.,/eQPrrzj76pQxmprQ3LpHhriZqlJ.jpg
350,Fallen (1998),35000000,"Drama, Comedy",United States of America,"Fox 2000 Pictures, 20th Century Fox, Wendy Finerman Productions","Andy moves to New York to work in the fashion industry. Her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.",/1LwW0W0Zyik00OmQPTnCUjmCh1C.jpg
351,"Prophecy II, The (1998)",1000000,Drama,Germany,"Rommel Film, 3 Sat","An average, everyday metalworker and volunteer firefighter content in his marriage to his childhood sweetheart finds his emotions unexpectedly stirred when he falls for a pretty waitress from a nearby town.",/sRihbZIwNLXDyv5OC6wDWPSGhEM.jpg
352,Spice World (1997),0,Unknown,Unknown,Unknown,Unknown,Unknown
353,Deep Rising (1998),0,Unknown,Unknown,Unknown,Unknown,Unknown
354,"Wedding Singer, The (1998)",0,Unknown,Unknown,Unknown,Unknown,Unknown
355,Sphere (1998),0,Unknown,Unknown,Unknown,Unknown,Unknown
356,"Client, The (1994)",0,Unknown,Unknown,Unknown,Unknown,Unknown
357,One Flew Over the Cuckoo's Nest (1975),0,Unknown,Unknown,Unknown,Unknown,Unknown
358,Spawn (1997),0,Unknown,Unknown,Unknown,Unknown,Unknown
359,"Assignment, The (1997)",0,Unknown,Unknown,Unknown,Unknown,Unknown
360,Wonderland (1997),0,Unknown,Unknown,Unknown,Unknown,Unknown
361,Incognito (1997),0,Unknown,Unknown,Unknown,Unknown,Unknown
362,Blues Brothers 2000 (1998),0,Unknown,Unknown,Unknown,Unknown,Unknown
363,Sudden Death (1995),0,"Drama, Romance","Germany, Turkey","Corazón International, Panfilm, Wüste Filmproduktion, ARTE, Bavaria Film International, NDR, Wüste Film","With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.",/9L5BBJiXZss58EBcbw0l4holdzZ.jpg
364,Ace Ventura: When Nature Calls (1995),80000000,"Action, Fantasy",United States of America,"Warner Bros. Pictures, Polygram Pictures","Batman must face The Penguin, a sewer-dwelling gangleader intent on being accepted into Gotham society.  Meanwhile, another Gotham resident finds herself transformed into Catwoman and is out for revenge...",/jKBjeXM7iBBV9UkUcOXx3m7FSHY.jpg
365,Powder (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
366,Dangerous Minds (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
367,Clueless (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
368,Bio-Dome (1996),0,Unknown,Unknown,Unknown,Unknown,Unknown
369,Black Sheep (1996),0,Unknown,Unknown,Unknown,Unknown,Unknown
370,Mary Reilly (1996),0,Unknown,Unknown,Unknown,Unknown,Unknown
371,"Bridges of Madison County, The (1995)",0,Unknown,Unknown,Unknown,Unknown,Unknown
372,Jeffrey (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
373,Judge Dredd (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
374,Mighty Morphin Power Rangers: The Movie (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
375,Showgirls (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
376,Houseguest (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
377,Heavyweights (1994),1800000,Horror,"United States of America, United Kingdom","New Line Cinema, Smart Egg Pictures, Media Home Entertainment, Cinema 84, The Elm Street Venture","Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",/wGTpGGRMZmyFCcrY2YoxVTIBlli.jpg
378,Miracle on 34th Street (1994),6000000,"Comedy, Crime",United States of America,Circle Films,"When a childless couple--an ex-con and an ex-cop--decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",/m5Zp4K4hKdPhsBl3E0p8I7QomlT.jpg
379,Tales From the Crypt Presents: Demon Knight (1995),14000000,"Drama, Thriller",United States of America,"Circle Films, 20th Century Fox","Set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman.",/ab3pnsTKp3BgcAFy0FgWBFBg9FL.jpg
380,Star Trek: Generations (1994),25000000,Drama,United States of America,"United Artists, Star Partners II Ltd., Guber/Peters Company, Metro-Goldwyn-Mayer","When car dealer Charlie Babbitt learns that his estranged father has died, he returns home to Cincinnati, where he discovers that he has a savant older brother named Raymond and that his father's $3 million fortune is being left to the mental institution in which Raymond lives. Motivated by his father's money, Charlie checks Raymond out of the facility in order to return with him to Los Angeles. The brothers' cross-country trip ends up changing both their lives.",/iTNHwO896WKkaoPtpMMS74d8VNi.jpg
381,Muriel's Wedding (1994),2500000,"Mystery, Romance",United States of America,Paramount Pictures,"An ex-thief is accused of enacting a new crime spree, so to clear his name he sets off to catch the new thief, who’s imitating his signature style.",/cbMRkBGBgo3aLJK2M4MyicvkPLQ.jpg
382,"Adventures of Priscilla, Queen of the Desert, The (1994)",0,Unknown,Unknown,Unknown,Unknown,Unknown
383,"Flintstones, The (1994)",22500,Drama,United States of America,,Walt is a lonely convenience store clerk who has fallen in love with a Mexican migrant worker named Johnny. Though Walt has little in common with the object of his affections — including a shared language — his desire to possess Johnny prompts a sexual awakening that results in taboo trysts and a tangled love triangle.,/gAtkeNjk054tEl3jCHtF1wOFCx1.jpg
384,Naked Gun 33 1/3: The Final Insult (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
385,True Lies (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
386,Addams Family Values (1993),0,Unknown,Unknown,Unknown,Unknown,Unknown
387,"Age of Innocence, The (1993)",14000000,"Drama, History",Germany,"Radiant Film GmbH, Süddeutscher Rundfunk, Bavaria Film, Twin Bros. Productions, Columbia Pictures, WDR, PSO","A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",/hafqfgdsbvZIDgml6GmRKs5VL4m.jpg
388,Beverly Hills Cop III (1994),45000000,"Crime, Drama",United States of America,"40 Acres and a Mule Filmworks, Imagine Entertainment, Universal Pictures","When an armed, masked gang enter a Manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing.",/ffMUgkDZICNiyaws1Jkv8qG8uFW.jpg
389,Black Beauty (1994),397751,Drama,United States of America,"United Artists, Orion-Nova Productions","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg
390,Fear of a Black Hat (1993),0,"Drama, Music","Germany, Portugal","Wim Wenders Stiftung, Madragoa Filmes, Road Movies, ARD",Lisbon Story is Wim Wenders' homage to Lisbon and films. A sound engineer obtains a mysterious postcard from a friend who at the moment is filming a film in Lisbon. He sets out across Europe to find him and help him.,/iqxvLET9q43BxxNXmit9nNiEPPM.jpg
391,Last Action Hero (1993),200000,Western,"Germany, Italy, Spain","Jolly Film, Ocean Films, Constantin Film","The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.",/lBwOEpwVeUAmrmglcstnaGcJq3Y.jpg
392,"Man Without a Face, The (1993)",25000000,"Comedy, Drama",United States of America,"Miramax, David Brown Productions","A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them, as they represent free-thinking and indulgence. When a group of gypsies arrive by riverboat, the Mayor's prejudices lead to a crisis.",/pb2xpBtzkUBgBe4jdn0KVfEuaHt.jpg
393,Mrs. Doubtfire (1993),30000000,"Action, Crime",United States of America,"Super Cool ManChu, Miramax, A Band Apart","The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg
394,Radioland Murders (1994),0,Unknown,Unknown,Unknown,Unknown,Unknown
395,Robin Hood: Men in Tights (1993),70000000,"Adventure, Science Fiction","Czech Republic, Germany, United Kingdom, United States of America","Studio Babelsberg, Davis Entertainment, Stillking Films, Lonlink Productions, Kut Productions, Inside Track Films, 20th Century Fox, Brandywine Productions","When scientists discover something near Antarctica that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",/ySWu5bCnnmgV1cVacvFnFIhgOjp.jpg
396,Serial Mom (1994),7500000,Drama,United States of America,"Chenault Productions, Warner Bros. Pictures","A history professor and his wife entertain a young couple who are new to the university's faculty. As the drinks flow, secrets come to light, and the middle-aged couple unload onto their guests the full force of the bitterness, dysfunction, and animosity that defines their marriage.",/wF7ihB5V5gSm6zxjv3ZhHOpgREI.jpg
397,Striking Distance (1993),0,"Comedy, Romance","United Kingdom, United States of America","PolyGram Filmed Entertainment, Working Title Films, Prufrock Pictures","After her fiancee admits to infidelity while on a business trip in France, a woman attempts to get her lover back and marry him by traveling to Paris despite her crippling fear of flying.  On the way she unwittingly smuggles something of value that has a charming crook chasing her across France as she chases after her future husband.",/odG0qfyK2SIc6vfGYIiH8aLASqL.jpg
398,Super Mario Bros. (1993),7000000,"Crime, Drama",United States of America,"United Artists, A-Line Pictures, Cooper's Town, Infinity Media, Metro-Goldwyn-Mayer","A biopic of writer Truman Capote and his assignment for The New Yorker to write the non-fiction book ""In Cold Blood"".",/tzsxkZMnJvozpHQEl1KzO8KwWu.jpg
399,"Three Musketeers, The (1993)",0,Unknown,Unknown,Unknown,Unknown,Unknown
400,"Little Rascals, The (1994)",8000000,"Drama, Crime",United States of America,Miramax,Five different criminals face imminent death after botching a job quite badly.,/rA4Jttg1kJvNhSv7wM0SNyXrqY0.jpg
401,"Brady Bunch Movie, The (1995)",2500000,"Comedy, Drama",United States of America,"Camelot Pictures, Jersey Films, Double Feature Films, Large's Ark Productions","Andrew returns to his hometown for the funeral of his mother, a journey that reconnects him with past friends. The trip coincides with his decision to stop taking his powerful antidepressants. A chance meeting with Sam - a girl also suffering from various maladies - opens up the possibility of rekindling emotional attachments, confronting his psychologist father, and perhaps beginning a new life.",/h3iqYiGS6F3y7GxaS4AT8nFxZ2i.jpg
402,Ghost (1990),49000000,"Thriller, Mystery","United States of America, France","Carolco Pictures, Le Studio Canal+","Catherine, a novelist with an insatiable sexual appetite, becomes a prime suspect when her boyfriend is brutally murdered -- a crime she had described in her latest story.",/76Ts0yoHk8kVQj9MMnoMixhRWoh.jpg
403,Batman (1989),7500000,Drama,"United Kingdom, United States of America","Warner Bros. Pictures, Majestic Films International, Allied Filmmakers, The Zanuck Company","The story of an old Jewish widow named Daisy Werthan and her relationship with her black chauffeur, Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters, in a time when those types of relationships were shunned.",/iaCzvcY42HihFxQBTZCTKMpsI0P.jpg
404,Pinocchio (1940),10000000,Drama,"France, United Kingdom, United States of America","Les Films Alain Sarde, The Picture Factory, Le Studio Canal+, Film4 Productions","A retired farmer and widower in his 70s, Alvin Straight learns one day that his distant brother Lyle has suffered a stroke and may not recover. Alvin is determined to make things right with Lyle while he still can, but his brother lives in Wisconsin, while Alvin is stuck in Iowa with no car and no driver's license. Then he hits on the idea of making the trip on his old lawnmower, thus beginning a picturesque and at times deeply spiritual odyssey.",/tT9cMiVDdtlcdZxOoFy3VRmEoKk.jpg
405,Mission: Impossible (1996),0,Drama,Italy,Ponti-De Laurentiis Cinematografica,"When Gelsomina, a naïve young woman, is purchased from her impoverished mother by brutish circus strongman Zampanò to be his wife and partner, she loyally endures her husband's coldness and abuse as they travel the Italian countryside performing together. Soon Zampanò must deal with his jealousy and conflicted feelings about Gelsomina when she finds a kindred spirit in Il Matto, the carefree circus fool, and contemplates leaving Zampanò.",/xyisVfPrNybDieMp1nbCv6iBtdV.jpg
406,Thinner (1996),2600000,Drama,France,"Kasso Productions, La Sept Cinéma, Les Productions Lazennec, Canal+, StudioCanal","After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",/a6DGCZC2fHNr07tyRumM30ALEKE.jpg
407,Spy Hard (1996),500000,"Crime, Drama",Germany,"ZDF, Wüste Film","Gabriel, Bobby and Costa are old friends from Altona, a multicultural hood in Hamburg. Just out of prison, Gabriel wants to turn his back on crime, but the others continue to operate as petty criminals. Friendships are tested as the trio navigate a dark world of mafia bosses and deals gone wrong.",/cVyYb5REN5cX5CWAr7wcdu7cT4Y.jpg
408,"Close Shave, A (1995)",1488423,"Fantasy, Animation",United States of America,Walt Disney Productions,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",/3VAHfuNb6Z7UiW12iYKANSPBl8m.jpg
409,Jack (1996),27000000,"Drama, Romance","United Kingdom, United States of America","Miramax, The Saul Zaentz Company, Tiger Moth Productions","In the 1930s, Count Almásy is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics.",/8eHHqMg8qEYtVw8LQLygsHXSR2q.jpg
410,Kingpin (1996),0,"Comedy, Drama",Germany,"Peter Rommel Productions, X Filme Creative Pool",When you read the title ‘Summer on the Balcony’ you probably think it will be a light Berlin summer comedy but it’s not. This film is an intimate study of two women friends who come to each other because of troubles with everyday life and with men and thus try to enjoy a life based on their ideas.,/9zu21w5SwWDSHZI7P5fv8wJqUz5.jpg
411,"Nutty Professor, The (1996)",180000000,"Adventure, Family","United Kingdom, United States of America","Walt Disney Pictures, Walden Media, C.S. Lewis Company","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg
412,"Very Brady Sequel, A (1996)",0,Unknown,Unknown,Unknown,Unknown,Unknown
413,Tales from the Crypt Presents: Bordello of Blood (1996),0,Unknown,Unknown,Unknown,Unknown,Unknown
414,My Favorite Year (1982),100000000,"Action, Crime",United States of America,"Warner Bros. Pictures, Tim Burton Productions, Polygram Pictures",Batman must battle a disfigured district attorney and a disgruntled former employee with help from an amorous psychologist and a young circus acrobat.,/mzzNBVwTiiY94xAXDMWJpNPW2US.jpg
415,"Apple Dumpling Gang, The (1975)",125000000,"Action, Science Fiction",United States of America,"Warner Bros. Pictures, Polygram Pictures",Batman and Robin deal with relationship issues while preventing Mr. Freeze and Poison Ivy from attacking Gotham City.,/cGRDufDDSrFrv7VI4YnmWnslne0.jpg
416,Old Yeller (1957),0,Unknown,Unknown,Unknown,Unknown,Unknown
417,"Parent Trap, The (1961)",0,Unknown,Unknown,Unknown,Unknown,Unknown
418,Cinderella (1950),0,Unknown,Unknown,Unknown,Unknown,Unknown
419,Mary Poppins (1964),0,"Comedy, Romance",Germany,Constantin Film,Director helmut Dietls and Patric Susskinds illustrate a legendary story of two lovers who cant keep themselves away from death.,/eauZ3KLBcBejZDyXge5HoWJ6zwn.jpg
420,Alice in Wonderland (1951),0,Unknown,Unknown,Unknown,Unknown,Unknown
421,William Shakespeare's Romeo and Juliet (1996),50000000,"Adventure, Comedy",United States of America,"American Empirical Pictures, Touchstone Pictures, Scott Rudin Productions","Renowned oceanographer Steve Zissou has sworn vengeance upon the rare shark that devoured a member of his crew. In addition to his regular team, he is joined on his boat by Ned, a man who believes Zissou to be his father, and Jane, a journalist pregnant by a married man. They travel the sea, all too often running into pirates and, perhaps more traumatically, various figures from Zissou's past, including his estranged wife, Eleanor.",/qZoFLNBC78jzboWeDH6Ha0qavF2.jpg
422,Aladdin and the King of Thieves (1996),0,Drama,"France, Italy","Cineriz, Francinex","Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.",/ja0uRnwFwnVFJlNMYL10orpjWtq.jpg
423,E.T. the Extra-Terrestrial (1982),35000000,"Drama, War","France, Germany, Poland, United Kingdom","Canal+ Polska, Bac Films, Heritage Films, Studio Babelsberg, Agencja Produkcji Filmowej, R.P. Productions, StudioCanal, Canal+, TVP, Runteam","The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg
424,Children of the Corn: The Gathering (1996),22000000,"Drama, History",United States of America,Amblin Entertainment,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
425,Bob Roberts (1992),59000000,"Animation, Comedy",United States of America,"20th Century Fox Animation, Blue Sky Studios, 20th Century Fox","With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",/gLhHHZUzeseRXShoDyC4VqLgsNv.jpg
426,"Transformers: The Movie, The (1986)",2479000,"Mystery, Romance",United States of America,"Paramount Pictures, Alfred J. Hitchcock Productions","A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg
427,To Kill a Mockingbird (1962),0,Comedy,"France, Italy","Gaumont Distribution, Specta Films, Alter Films, Film del Centauro, Cady Films, gray-film","Genial, bumbling Monsieur Hulot loves his top-floor apartment in a grimy corner of the city, and cannot fathom why his sister's family has moved to the suburbs. Their house is an ultra-modern nightmare, which Hulot only visits for the sake of stealing away his rambunctious young nephew. Hulot's sister, however, wants to win him over to her new way of life, and conspires to set him up with a wife and job.",/wH6RyPiXFy8INLbViVkchLVOmBc.jpg
428,Harold and Maude (1971),0,"Drama, Romance",Germany,"Ö-Filmproduktion, ARTE, SWR","Sommer ’04 is a character study of a family on vacation. German director Stefan Krohmer examines the emotional abyss and problems behind the seemingly nice facade of an intact family as they experience guilt, love and jealousy.",/iXZX1B2BaAXEo59KCV1CY4K1S4j.jpg
429,"Day the Earth Stood Still, The (1951)",1200000,Western,"United States of America, Italy, Spain, Germany","United Artists, PEA, Arturo González PC, Constantin Film","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg
430,Duck Soup (1933),3000000,Comedy,United States of America,"The Mirisch Company, United Artists","C.R. MacNamara is a managing director for Coca Cola in West Berlin during the Cold War, just before the Wall is put up. When Scarlett, the rebellious daughter of his boss, comes to West Berlin, MacNamara has to look after her, but this turns out to be a difficult task when she reveals to be married to a communist.",/yWQE227ub1frfnjP5HZy0wLF0wu.jpg
431,Highlander (1986),257899,"Thriller, Science Fiction",Canada,"Cube Libre, The Feature Film Project","A group of strangers find themselves trapped in a maze-like prison. It soon becomes clear that each of them possesses the peculiar skills necessary to escape, if they don't wind up dead first.",/x4BTjxdrOKC27FcSkBh8KPEgnum.jpg
432,Fantasia (1940),0,Unknown,Unknown,Unknown,Unknown,Unknown
433,Heathers (1989),4650000,"Comedy, Family",United States of America,Walt Disney Productions,"Mr Banks is looking for a nanny for his two mischievous children and comes across Mary Poppins, an angelic nanny. She not only brings a change in their lives but also spreads happiness.",/1DjJh0vwGwi6KugPZfDiliO25XP.jpg
434,Forbidden Planet (1956),0,"Drama, Thriller",Germany,Boje Buck Produktion GmbH,"From the youth directed novel of the same name by Greogor Tressnow comes a film by Detlev Buck that is a realistic portrait of life in the section of Berlin called Neukölln. It’s about power and weakness, delinquents and victims, and the difficulties a 15-year-old faces in a poor and criminal environment.",/vYd5v3GXDBwPvK6897gNj8DEHkB.jpg
435,Butch Cassidy and the Sundance Kid (1969),125000000,"Action, Adventure",United States of America,"20th Century Fox, Centropolis Entertainment, Lionsgate, The Mark Gordon Company","After paleoclimatologist Jack Hall is largely ignored by UN officials when presenting his environmental concerns about the beginning of a new Ice Age, his research proves true when a superstorm develops, setting off catastrophic natural disasters throughout the world. Trying to get to his son, Sam, who is trapped in New York City with his friend Laura and others, Jack and his crew must travel to get to Sam before it's too late.",/Wr4HeYQRvwVCxzOV5TmGE7UkXq.jpg
436,"American Werewolf in London, An (1981)",3000000,"Drama, Thriller","Ecuador, Colombia, United States of America","Journeyman Pictures, Fine Line Features, HBO Films",A pregnant Colombian teenager becomes a drug mule to make some desperately needed money for her family.,/30CImATfvHWLXy6a3KmHXnYXB6c.jpg
437,Amityville 1992: It's About Time (1992),0,"Thriller, Science Fiction",Canada,Lions Gate Films,"Eight strangers awaken with no memory, in a puzzling cube-shaped room where the laws of physics do not always apply.",/bEqqwtwUP7lm56VyeVONhv9JtYu.jpg
438,Amityville 3-D (1983),825000,"Mystery, Science Fiction",Canada,"Mr. X, Mad Circus Films, Lionsgate",A young programmer whose job is to watch over the reality-warping Cube defies orders to rescue an innocent mother trapped in one of its rooms.,/cx31RUjyim2Bg0YEzbKZZI3imJ9.jpg
